pertanyaan,intent,kategori,solusi,pertanyaan_bersih
saya punya masalah: aktivasi office gagal,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",saya punya masalah aktivasi office gagal
bantuan! aktivasi office gagal,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",bantu aktivasi office gagal
"tolong, aktivasi office gagal",software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",tolong aktivasi office gagal
ada yang bisa bantu? aktivasi office gagal,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",ada yang bisa bantu aktivasi office gagal
gimana ya aktivasi office gagal?,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",gimana ya aktivasi office gagal
error: aktivasi office gagal,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",error aktivasi office gagal
"aktivasi office gagal nih, bisa dibantu?",software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",aktivasi office gagal nih bisa bantu
microsoft office tidak berfungsi,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",microsoft office tidak fungsi
MICROSOFT OFFICE TIDAK BERFUNGSI,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",microsoft office tidak fungsi
Microsoft Office Tidak Berfungsi,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",microsoft office tidak fungsi
saya punya masalah: microsoft office tidak berfungsi,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",saya punya masalah microsoft office tidak fungsi
bantuan! microsoft office tidak berfungsi,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",bantu microsoft office tidak fungsi
"tolong, microsoft office tidak berfungsi",software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",tolong microsoft office tidak fungsi
ada yang bisa bantu? microsoft office tidak berfungsi,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",ada yang bisa bantu microsoft office tidak fungsi
gimana ya microsoft office tidak berfungsi?,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",gimana ya microsoft office tidak fungsi
error: microsoft office tidak berfungsi,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",error microsoft office tidak fungsi
"microsoft office tidak berfungsi nih, bisa dibantu?",software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",microsoft office tidak fungsi nih bisa bantu
browser tidak bisa buka website,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",browser tidak bisa buka website
BROWSER TIDAK BISA BUKA WEBSITE,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",browser tidak bisa buka website
Browser Tidak Bisa Buka Website,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",browser tidak bisa buka website
saya punya masalah: browser tidak bisa buka website,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",saya punya masalah browser tidak bisa buka website
bantuan! browser tidak bisa buka website,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",bantu browser tidak bisa buka website
"tolong, browser tidak bisa buka website",software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",tolong browser tidak bisa buka website
ada yang bisa bantu? browser tidak bisa buka website,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",ada yang bisa bantu browser tidak bisa buka website
gimana ya browser tidak bisa buka website?,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",gimana ya browser tidak bisa buka website
error: browser tidak bisa buka website,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",error browser tidak bisa buka website
"browser tidak bisa buka website nih, bisa dibantu?",software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",browser tidak bisa buka website nih bisa bantu
chrome error,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",chrome error
CHROME ERROR,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",chrome error
Chrome Error,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",chrome error
saya punya masalah: chrome error,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",saya punya masalah chrome error
bantuan! chrome error,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",bantu chrome error
"tolong, chrome error",software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",tolong chrome error
ada yang bisa bantu? chrome error,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",ada yang bisa bantu chrome error
gimana ya chrome error?,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",gimana ya chrome error
error: chrome error,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",error chrome error
"chrome error nih, bisa dibantu?",software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",chrome error nih bisa bantu
firefox tidak merespons,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",firefox tidak respons
FIREFOX TIDAK MERESPONS,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",firefox tidak respons
Firefox Tidak Merespons,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",firefox tidak respons
saya punya masalah: firefox tidak merespons,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",saya punya masalah firefox tidak respons
bantuan! firefox tidak merespons,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",bantu firefox tidak respons
"tolong, firefox tidak merespons",software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",tolong firefox tidak respons
ada yang bisa bantu? firefox tidak merespons,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",ada yang bisa bantu firefox tidak respons
gimana ya firefox tidak merespons?,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",gimana ya firefox tidak respons
error: firefox tidak merespons,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",error firefox tidak respons
"firefox tidak merespons nih, bisa dibantu?",software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",firefox tidak respons nih bisa bantu
file tidak bisa dibuka,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",file tidak bisa buka
FILE TIDAK BISA DIBUKA,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",file tidak bisa buka
File Tidak Bisa Dibuka,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",file tidak bisa buka
saya punya masalah: file tidak bisa dibuka,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",saya punya masalah file tidak bisa buka
bantuan! file tidak bisa dibuka,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",bantu file tidak bisa buka
"tolong, file tidak bisa dibuka",software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",tolong file tidak bisa buka
ada yang bisa bantu? file tidak bisa dibuka,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",ada yang bisa bantu file tidak bisa buka
gimana ya file tidak bisa dibuka?,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",gimana ya file tidak bisa buka
error: file tidak bisa dibuka,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",error file tidak bisa buka
"file tidak bisa dibuka nih, bisa dibantu?",software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",file tidak bisa buka nih bisa bantu
format file tidak didukung,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",format file tidak dukung
FORMAT FILE TIDAK DIDUKUNG,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",format file tidak dukung
Format File Tidak Didukung,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",format file tidak dukung
saya punya masalah: format file tidak didukung,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",saya punya masalah format file tidak dukung
bantuan! format file tidak didukung,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",bantu format file tidak dukung
"tolong, format file tidak didukung",software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",tolong format file tidak dukung
ada yang bisa bantu? format file tidak didukung,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",ada yang bisa bantu format file tidak dukung
gimana ya format file tidak didukung?,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",gimana ya format file tidak dukung
error: format file tidak didukung,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",error format file tidak dukung
"format file tidak didukung nih, bisa dibantu?",software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",format file tidak dukung nih bisa bantu
software lama sudah tidak support,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",software lama sudah tidak support
SOFTWARE LAMA SUDAH TIDAK SUPPORT,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",software lama sudah tidak support
Software Lama Sudah Tidak Support,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",software lama sudah tidak support
saya punya masalah: software lama sudah tidak support,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",saya punya masalah software lama sudah tidak support
bantuan! software lama sudah tidak support,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",bantu software lama sudah tidak support
"tolong, software lama sudah tidak support",software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",tolong software lama sudah tidak support
ada yang bisa bantu? software lama sudah tidak support,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",ada yang bisa bantu software lama sudah tidak support
gimana ya software lama sudah tidak support?,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",gimana ya software lama sudah tidak support
error: software lama sudah tidak support,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",error software lama sudah tidak support
"software lama sudah tidak support nih, bisa dibantu?",software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",software lama sudah tidak support nih bisa bantu
ada bug di aplikasi,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",ada bug di aplikasi
ADA BUG DI APLIKASI,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",ada bug di aplikasi
Ada Bug Di Aplikasi,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",ada bug di aplikasi
saya punya masalah: ada bug di aplikasi,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",saya punya masalah ada bug di aplikasi
bantuan! ada bug di aplikasi,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",bantu ada bug di aplikasi
"tolong, ada bug di aplikasi",software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",tolong ada bug di aplikasi
ada yang bisa bantu? ada bug di aplikasi,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",ada yang bisa bantu ada bug di aplikasi
gimana ya ada bug di aplikasi?,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",gimana ya ada bug di aplikasi
error: ada bug di aplikasi,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",error ada bug di aplikasi
"ada bug di aplikasi nih, bisa dibantu?",software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",ada bug di aplikasi nih bisa bantu
program error,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",program error
PROGRAM ERROR,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",program error
Program Error,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",program error
saya punya masalah: program error,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",saya punya masalah program error
bantuan! program error,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",bantu program error
"tolong, program error",software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",tolong program error
ada yang bisa bantu? program error,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",ada yang bisa bantu program error
gimana ya program error?,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",gimana ya program error
error: program error,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",error program error
"program error nih, bisa dibantu?",software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",program error nih bisa bantu
aplikasi loading lama,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",aplikasi loading lama
APLIKASI LOADING LAMA,software_problem,Software & Aplikasi,"Aplikasi tidak bisa dibuka:
1. Cek Task Manager (Ctrl+Shift+Esc), kill process yang nyangkut
2. Klik kanan aplikasi → Run as Administrator
3. Reinstall jika file corrupt.",aplikasi loading lama
Aplikasi Loading Lama,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",aplikasi loading lama
saya punya masalah: aplikasi loading lama,software_problem,Software & Aplikasi,"Browser tidak bisa buka web:
1. Clear cache (Ctrl+Shift+Delete)
2. Coba mode Incognito (Ctrl+Shift+N)
3. Cek apakah alamat web terblokir oleh Firewall kantor.",saya punya masalah aplikasi loading lama
bantuan! aplikasi loading lama,software_problem,Software & Aplikasi,"Aktivasi Office bermasalah:
1. Buka Word/Excel → File → Account → Sign out
2. Sign in kembali dengan akun email kantor yang valid
3. Tunggu 5 menit untuk proses sinkronisasi lisensi.",bantu aplikasi loading lama
